评价分,对本门课程学习收获的感受25%,老师对教学工作是否认真负责20%,老师教学是否激发了你的学习兴趣，促进你主动学习10%,老师是否关心你们的实际学习情况，注重与你们的沟通、指导和交流15%,是否因教学效果好，愿意向下届同学推荐这位上课老师30%
100,100,100,100,100,100
86,60,80,100,100,100
90,60,100,100,100,100
94,100,80,80,100,100
100,100,100,100,100,100
100,100,100,100,100,100
94,100,80,80,100,100
100,100,100,100,100,100
91,80,80,100,100,100
96,100,80,100,100,100
82,60,60,100,100,100
100,100,100,100,100,100
75,40,60,80,100,100
100,100,100,100,100,100
69,40,20,100,100,100
94,100,80,80,100,100
100,100,100,100,100,100
83,80,40,100,100,100
100,100,100,100,100,100
95,80,100,100,100,100
80,20,100,100,100,100
80,20,100,100,100,100
89,80,80,80,100,100
100,100,100,100,100,100
57,20,20,60,80,100
84,100,20,100,100,100
100,100,100,100,100,100
94,100,80,80,100,100
94,100,80,80,100,100
97,100,100,100,80,100
74,60,20,100,100,100
86,60,80,100,100,100
100,100,100,100,100,100
82,60,60,100,100,100
88,100,40,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
94,100,80,80,100,100
93,80,100,80,100,100
100,100,100,100,100,100
100,100,100,100,100,100
74,60,20,100,100,100
80,20,100,100,100,100
88,100,40,100,100,100
62,20,20,80,100,100
100,100,100,100,100,100
94,100,80,80,100,100
100,100,100,100,100,100
94,100,80,80,100,100
100,100,100,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
97,100,100,100,80,100
100,100,100,100,100,100
90,60,100,100,100,100
100,100,100,100,100,100
95,80,100,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
92,100,60,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
97,100,100,100,80,100
97,100,100,100,80,100
80,20,100,100,100,100
100,100,100,100,100,100
76,20,80,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
92,100,60,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
66,20,40,80,100,100
91,80,80,100,100,100
80,20,100,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
98,100,100,80,100,100
96,100,80,100,100,100
94,100,80,80,100,100
75,40,60,80,100,100
89,80,80,80,100,100
100,100,100,100,100,100
98,100,100,80,100,100
84,100,20,100,100,100
74,60,20,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
87,80,60,100,100,100
82,60,60,100,100,100
74,60,20,100,100,100
85,40,100,100,100,100
82,60,60,100,100,100
95,80,100,100,100,100
94,100,80,80,100,100
100,100,100,100,100,100
100,100,100,100,100,100
98,100,100,80,100,100
100,100,100,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
87,80,60,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
40,20,20,40,20,80
100,100,100,100,100,100
100,100,100,100,100,100
74,60,20,100,100,100
100,100,100,100,100,100
48,20,20,60,20,100
93,80,100,80,100,100
100,100,100,100,100,100
100,100,100,100,100,100
96,100,80,100,100,100
89,80,80,80,100,100
94,100,80,80,100,100
80,20,100,100,100,100
87,80,60,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
60,20,20,60,100,100
60,20,20,60,100,100
100,100,100,100,100,100
98,100,100,80,100,100
69,40,20,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
90,60,100,100,100,100
100,100,100,100,100,100
80,20,100,100,100,100
100,100,100,100,100,100
60,20,20,60,100,100
100,100,100,100,100,100
100,100,100,100,100,100
55,20,20,40,80,100
76,20,80,100,100,100
100,100,100,100,100,100
80,20,100,100,100,100
100,100,100,100,100,100
72,20,60,100,100,100
80,20,100,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
80,20,100,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
73,40,40,100,100,100
91,80,80,100,100,100
94,100,80,80,100,100
91,80,80,100,100,100
80,20,100,100,100,100
98,100,100,80,100,100
100,100,100,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
94,100,80,80,100,100
97,100,100,100,80,100
100,100,100,100,100,100
64,20,20,100,100,100
86,60,80,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
86,60,80,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
80,20,100,100,100,100
100,100,100,100,100,100
100,100,100,100,100,100
94,100,80,80,100,100
100,100,100,100,100,100
76,20,80,100,100,100
100,100,100,100,100,100
90,60,100,100,100,100
100,100,100,100,100,100
89,80,80,80,100,100
91,80,80,100,100,100
100,100,100,100,100,100
