评价分,对本门课程学习收获的感受25%,老师对教学工作是否认真负责20%,老师教学是否激发了你的学习兴趣，促进你主动学习10%,老师是否关心你们的实际学习情况，注重与你们的沟通、指导和交流15%,是否因教学效果好，愿意向下届同学推荐这位上课老师30%
86,C,B,A,A,A
86,C,B,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
97,A,A,A,B,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
94,A,B,B,A,A
97,A,A,A,B,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
96,A,B,A,A,A
100,A,A,A,A,A
98,A,A,B,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
80,E,A,A,A,A
91,B,B,A,A,A
100,A,A,A,A,A
98,A,A,B,A,A
89,B,B,B,A,A
80,E,A,A,A,A
94,A,B,B,A,A
94,A,B,B,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
95,B,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
98,A,A,B,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
97,A,A,A,B,A
100,A,A,A,A,A
100,A,A,A,A,A
96,A,B,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
94,A,B,B,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
86,C,B,A,A,A
92,A,C,A,A,A
87,B,C,A,A,A
84,A,E,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
65,D,E,C,A,A
62,E,E,B,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
78,C,D,A,A,A
95,B,A,A,A,A
80,E,A,A,A,A
80,E,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
95,B,A,A,A,A
95,B,A,A,A,A
94,A,B,B,A,A
74,C,E,A,A,A
90,C,A,A,A,A
100,A,A,A,A,A
65,D,E,C,A,A
57,E,E,C,B,A
97,A,A,A,B,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
98,A,A,B,A,A
86,C,B,A,A,A
51,E,E,C,D,A
100,A,A,A,A,A
92,A,C,A,A,A
100,A,A,A,A,A
88,A,D,A,A,A
100,A,A,A,A,A
89,B,B,B,A,A
98,A,A,B,A,A
61,D,E,E,A,A
94,A,B,B,A,A
100,A,A,A,A,A
80,E,A,A,A,A
92,A,C,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
90,C,A,A,A,A
95,B,A,A,A,A
100,A,A,A,A,A
95,B,A,A,A,A
100,A,A,A,A,A
30,E,E,C,E,D
95,B,A,A,A,A
63,D,E,D,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
95,B,A,A,A,A
46,E,E,D,E,A
54,E,E,C,C,A
100,A,A,A,A,A
100,A,A,A,A,A
60,E,E,C,A,A
75,D,C,B,A,A
91,B,B,A,A,A
100,A,A,A,A,A
80,E,A,A,A,A
66,E,D,B,A,A
80,E,A,A,A,A
80,E,A,A,A,A
84,A,E,A,A,A
63,D,E,D,A,A
100,A,A,A,A,A
96,A,B,A,A,A
100,A,A,A,A,A
96,A,B,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
92,A,C,A,A,A
95,B,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
93,B,A,B,A,A
100,A,A,A,A,A
60,E,E,C,A,A
82,C,C,A,A,A
100,A,A,A,A,A
92,A,C,A,A,A
100,A,A,A,A,A
81,D,B,A,A,A
90,C,A,A,A,A
80,E,A,A,A,A
94,A,B,B,A,A
97,A,A,A,B,A
92,A,C,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
97,A,A,A,B,A
71,D,D,B,A,A
94,A,B,B,A,A
98,A,A,B,A,A
82,C,C,A,A,A
84,A,E,A,A,A
72,E,C,A,A,A
98,A,A,B,A,A
85,D,A,A,A,A
100,A,A,A,A,A
97,A,A,A,B,A
100,A,A,A,A,A
57,E,E,C,B,A
84,A,E,A,A,A
83,B,D,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
77,D,C,A,A,A
55,E,E,D,B,A
87,B,C,A,A,A
90,C,A,A,A,A
84,A,E,A,A,A
80,E,A,A,A,A
96,A,B,A,A,A
90,C,A,A,A,A
94,A,B,B,A,A
97,A,A,A,B,A
85,D,A,A,A,A
