评价分,对本门课程学习收获的感受25%,老师对教学工作是否认真负责20%,老师教学是否激发了你的学习兴趣，促进你主动学习10%,老师是否关心你们的实际学习情况，注重与你们的沟通、指导和交流15%,是否因教学效果好，愿意向下届同学推荐这位上课老师30%
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
89,B,B,B,A,A
100,A,A,A,A,A
86,C,B,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
80,E,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
87,B,C,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
76,E,B,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
88,A,D,A,A,A
80,E,A,A,A,A
80,E,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
78,C,D,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
69,D,E,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
81,D,B,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
76,E,B,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
80,E,A,A,A,A
84,A,E,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
91,B,B,A,A,A
100,A,A,A,A,A
94,A,B,B,A,A
78,C,D,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
87,B,C,A,A,A
62,E,E,B,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
80,E,A,A,A,A
60,E,E,C,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
74,C,E,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
72,E,C,A,A,A
100,A,A,A,A,A
80,E,A,A,A,A
